lon,lat,value
60.0,-10.0,295.2
60.182647705078125,-10.0,295.3
60.36529541015625,-10.0,295.4
60.54794692993164,-10.0,297.8
60.730594635009766,-10.0,295.0
60.91324234008789,-10.0,297.3
61.095890045166016,-10.0,294.2
61.27853775024414,-10.0,293.3
61.461185455322266,-10.0,291.3
61.643836975097656,-10.0,290.3
61.82648468017578,-10.0,291.4
62.009132385253906,-10.0,292.6
62.19178009033203,-10.0,297.7
62.374427795410156,-10.0,297.1
62.55707931518555,-10.0,294.0
62.73972702026367,-10.0,293.9
62.9223747253418,-10.0,293.2
63.10502243041992,-10.0,293.9
63.28767013549805,-10.0,292.6
63.47031784057617,-10.0,296.4
63.65296936035156,-10.0,295.9
63.83561706542969,-10.0,292.5
64.01826477050781,-10.0,297.4
64.20091247558594,-10.0,296.9
64.38356018066406,-10.0,295.3
64.56620788574219,-10.0,296.6
64.74885559082031,-10.0,296.1
64.93150329589844,-10.0,296.8
65.1141586303711,-10.0,294.9
65.29680633544922,-10.0,292.5
65.47945404052734,-10.0,290.5
65.66210174560547,-10.0,291.9
65.8447494506836,-10.0,297.9
66.02739715576172,-10.0,296.4
66.21004486083984,-10.0,294.5
66.39269256591797,-10.0,296.3
66.5753402709961,-10.0,291.2
66.75798797607422,-10.0,296.6
66.94063568115234,-10.0,291.8
67.123291015625,-10.0,297.2
67.30593872070312,-10.0,297.4
67.48858642578125,-10.0,294.3
67.67123413085938,-10.0,294.2
67.8538818359375,-10.0,290.2
68.03652954101562,-10.0,293.8
68.21917724609375,-10.0,293.2
68.40182495117188,-10.0,291.7
68.58447265625,-10.0,297.7
68.76712036132812,-10.0,294.5
68.94976806640625,-10.0,292.5
69.1324234008789,-10.0,290.8
69.31507110595703,-10.0,293.4
69.49771881103516,-10.0,293.7
69.68036651611328,-10.0,293.9
69.8630142211914,-10.0,296.1
70.04566192626953,-10.0,290.7
70.22830963134766,-10.0,296.2
70.41095733642578,-10.0,295.1
70.5936050415039,-10.0,293.5
70.77625274658203,-10.0,293.3
70.95890045166016,-10.0,296.1
71.14155578613281,-10.0,293.2
71.32420349121094,-10.0,290.0
71.50685119628906,-10.0,295.7
71.68949890136719,-10.0,293.8
71.87214660644531,-10.0,291.4
72.05479431152344,-10.0,291.3
72.23744201660156,-10.0,296.8
72.42008972167969,-10.0,296.1
72.60273742675781,-10.0,294.6
72.78538513183594,-10.0,290.2
72.96803283691406,-10.0,290.6
73.15068817138672,-10.0,294.2
73.33333587646484,-10.0,293.3
73.51598358154297,-10.0,293.1
73.6986312866211,-10.0,292.1
73.88127899169922,-10.0,291.0
74.06392669677734,-10.0,296.4
74.24657440185547,-10.0,292.0
74.4292221069336,-10.0,293.9
74.61186981201172,-10.0,294.5
74.79451751708984,-10.0,293.3
74.97716522216797,-10.0,290.6
75.15982055664062,-10.0,295.8
75.34246826171875,-10.0,290.1
75.52511596679688,-10.0,295.1
75.707763671875,-10.0,293.1
75.89041137695312,-10.0,294.5
76.07305908203125,-10.0,292.3
76.25570678710938,-10.0,290.8
76.4383544921875,-10.0,291.2
76.62100219726562,-10.0,293.7
76.80364990234375,-10.0,297.1
76.98629760742188,-10.0,291.0
77.16895294189453,-10.0,292.9
77.35160064697266,-10.0,297.6
77.53424835205078,-10.0,295.0
77.7168960571289,-10.0,290.4
77.89954376220703,-10.0,295.4
78.08219146728516,-10.0,293.9
78.26483917236328,-10.0,290.2
78.4474868774414,-10.0,292.7
78.63013458251953,-10.0,297.5
78.81278228759766,-10.0,291.9
78.99542999267578,-10.0,290.4
79.17808532714844,-10.0,291.9
79.36073303222656,-10.0,294.8
79.54338073730469,-10.0,295.3
79.72602844238281,-10.0,290.9
79.90867614746094,-10.0,291.0
80.09132385253906,-10.0,295.7
80.27397155761719,-10.0,294.7
80.45661926269531,-10.0,290.4
80.63926696777344,-10.0,297.9
80.82191467285156,-10.0,292.9
81.00457000732422,-10.0,295.7
81.18721771240234,-10.0,290.6
81.36986541748047,-10.0,297.2
81.5525131225586,-10.0,293.1
81.73516082763672,-10.0,296.0
81.91780853271484,-10.0,290.1
82.10045623779297,-10.0,297.3
82.2831039428711,-10.0,294.6
82.46575164794922,-10.0,294.5
82.64839935302734,-10.0,293.9
82.83104705810547,-10.0,295.6
83.01370239257812,-10.0,294.8
83.19635009765625,-10.0,294.6
83.37899780273438,-10.0,290.3
83.5616455078125,-10.0,291.9
83.74429321289062,-10.0,296.8
83.92694091796875,-10.0,292.9
84.10958862304688,-10.0,292.5
84.292236328125,-10.0,293.4
84.47488403320312,-10.0,292.9
84.65753173828125,-10.0,293.9
84.84017944335938,-10.0,292.2
85.02283477783203,-10.0,290.4
85.20548248291016,-10.0,297.1
85.38813018798828,-10.0,297.1
85.5707778930664,-10.0,293.5
85.75342559814453,-10.0,297.1
85.93607330322266,-10.0,291.1
86.11872100830078,-10.0,292.2
86.3013687133789,-10.0,293.6
86.48401641845703,-10.0,290.6
86.66666412353516,-10.0,295.9
86.84931182861328,-10.0,290.2
87.03196716308594,-10.0,297.3
87.21461486816406,-10.0,297.5
87.39726257324219,-10.0,297.5
87.57991027832031,-10.0,297.6
87.76255798339844,-10.0,295.7
87.94520568847656,-10.0,297.5
